id,user_id,completed_at,item_total,shipment_total
258666,32105,2022-08-01 03:27,38.11,2.5
258691,32119,2022-08-01 08:22,39.31,2.5
258700,32124,2022-08-01 09:06,40.52,2.5
258701,32125,2022-08-01 09:08,47.52,2.5
258697,32122,2022-08-01 09:09,38.95,2.5
258654,32096,2022-08-01 09:38,47.62,2.5
258708,9365,2022-08-01 09:46,31.05,2.5
258715,32131,2022-08-01 10:06,38.24,2.5
258717,32132,2022-08-01 10:13,50.82,2.5
253736,29324,2022-08-01 10:14,50.3,2.5
258689,32118,2022-08-01 10:20,38.15,2.5
258719,32133,2022-08-01 10:33,39.8,2.5
235975,24736,2022-08-01 10:51,49.03,2.5
258733,32140,2022-08-01 11:15,42.57,2.5
258752,32154,2022-08-01 12:41,41.56,2.5
258444,31981,2022-08-01 12:51,40.72,2.5
258759,32158,2022-08-01 13:11,38.9,2.5
258764,32163,2022-08-01 13:28,48.4,2.5
253301,27775,2022-08-01 13:32,32.45,2.5
258771,32168,2022-08-01 14:06,48.12,2.5
258772,32169,2022-08-01 14:11,40.33,2.5
258776,32171,2022-08-01 14:31,47.55,2.5
256339,27073,2022-08-01 15:16,31.43,2.5
44057,100,2022-08-01 15:16,128.65,2.5
258800,32189,2022-08-01 15:51,65.56,2.5
254122,22014,2022-08-01 16:15,27.52,6.0
258805,32193,2022-08-01 16:21,48.82,2.5
258809,32196,2022-08-01 16:46,49.2,2.5
258821,32202,2022-08-01 17:18,38.5,2.5
258827,32208,2022-08-01 17:27,40.37,2.5
255713,22103,2022-08-01 18:14,27.44,6.0
258804,32191,2022-08-01 18:32,48.52,2.5
258843,32220,2022-08-01 18:37,47.68,2.5
241858,26331,2022-08-01 18:48,37.48,2.5
258848,32226,2022-08-01 18:51,40.83,2.5
258831,32210,2022-08-01 18:59,48.23,2.5
257292,31277,2022-08-01 19:00,48.6,2.5
253702,28493,2022-08-01 19:20,50.22,2.5
258866,32235,2022-08-01 20:28,38.28,2.5
258874,32241,2022-08-01 20:46,49.2,2.5
258885,32250,2022-08-01 21:32,39.06,2.5
45214,1673,2022-08-01 21:38,39.97,2.5
258903,32263,2022-08-02 03:05,49.67,2.5
252643,28953,2022-08-02 05:07,33.13,2.5
258910,32268,2022-08-02 05:51,37.95,2.5
258918,32273,2022-08-02 06:11,44.85,2.5
241687,26288,2022-08-02 06:18,48.06,2.5
258920,32274,2022-08-02 06:29,50.53,2.5
258924,32278,2022-08-02 06:38,38.59,2.5
258882,32248,2022-08-02 06:42,41.74,2.5
258925,32279,2022-08-02 06:59,48.27,2.5
258928,32282,2022-08-02 07:05,58.3,2.5
15023,288,2022-08-02 07:09,64.39,2.5
258930,32283,2022-08-02 07:13,26.38,6.0
258933,32285,2022-08-02 07:17,25.5,6.0
258917,32272,2022-08-02 07:46,48.01,2.5
258941,32288,2022-08-02 08:01,48.34,2.5
258565,32049,2022-08-02 08:49,41.89,2.5
108735,18752,2022-08-02 08:58,95.21,2.5
258953,32292,2022-08-02 09:00,51.26,2.5
258963,32295,2022-08-02 09:52,39.5,2.5
258969,32300,2022-08-02 10:00,23.07,6.0
258967,32298,2022-08-02 10:02,40.91,2.5
258971,32301,2022-08-02 10:03,47.56,2.5
258968,32299,2022-08-02 10:13,43.11,2.5
258977,32304,2022-08-02 10:15,18.66,6.0
258965,32296,2022-08-02 10:27,38.15,2.5
258983,32309,2022-08-02 11:08,49.2,2.5
257932,31641,2022-08-02 11:12,49.06,2.5
258989,32313,2022-08-02 11:13,45.69,2.5
258999,32321,2022-08-02 11:27,47.68,2.5
258993,32316,2022-08-02 11:32,41.1,2.5
259003,32323,2022-08-02 11:41,32.55,2.5
256140,20076,2022-08-02 12:22,57.26,2.5
233382,24194,2022-08-02 12:29,49.33,2.5
259024,32336,2022-08-02 13:07,39.46,2.5
259029,32339,2022-08-02 13:31,47.98,2.5
254353,28334,2022-08-02 13:46,27.07,6.0
259033,32342,2022-08-02 13:54,50.08,2.5
135849,8048,2022-08-02 14:18,131.36,2.5
259039,32345,2022-08-02 14:20,39.97,2.5
252702,192,2022-08-02 14:26,87.2,2.5
259040,32346,2022-08-02 14:30,42.54,2.5
259046,32349,2022-08-02 14:46,38.61,2.5
256298,30426,2022-08-02 14:56,33.66,2.5
259068,32360,2022-08-02 15:56,50.8,2.5
259075,32365,2022-08-02 16:06,43.44,2.5
257203,13314,2022-08-02 16:16,27.12,6.0
259091,32374,2022-08-02 16:40,38.82,2.5
259071,32362,2022-08-02 16:47,55.39,2.5
259089,32373,2022-08-02 16:48,48.26,2.5
255571,30379,2022-08-02 16:51,39.32,2.5
259102,32379,2022-08-02 17:17,51.49,2.5
259114,32390,2022-08-02 17:51,38.28,2.5
253012,15,2022-08-02 17:59,59.19,2.5
255244,30186,2022-08-02 18:04,33.6,2.5
255975,27801,2022-08-02 18:42,44.18,2.5
259129,32397,2022-08-02 19:03,48.54,2.5
259133,31483,2022-08-02 19:27,31.15,2.5
259142,32403,2022-08-02 19:39,47.78,2.5
206728,4004,2022-08-02 19:41,61.04,2.5
259154,32410,2022-08-02 20:07,48.26,2.5
259158,32415,2022-08-02 20:21,51.12,2.5
259159,32416,2022-08-02 20:25,47.25,2.5
259157,32413,2022-08-02 20:32,47.89,2.5
253437,29198,2022-08-02 20:40,46.6,2.5
259169,32422,2022-08-02 21:01,48.68,2.5
243224,26721,2022-08-02 21:03,52.8,2.5
259174,32424,2022-08-02 21:16,48.36,2.5
259182,32429,2022-08-02 21:46,45.06,2.5
259186,32431,2022-08-02 22:34,48.57,2.5
153173,19519,2022-08-03 01:45,30.43,2.5
258599,32011,2022-08-03 05:28,32.73,2.5
259204,32441,2022-08-03 05:28,55.3,2.5
